id,name,description,category,created_at,requirement,collektion
1,Traveler I,Besuche 3 verschiedene Laender,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""countries_visited"", ""value"": 3, ""mechanism"": ""unique_count""}",
2,Traveler II,Besuche 5 verschiedene Laender,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""countries_visited"", ""value"": 5, ""mechanism"": ""unique_count""}",
3,Traveler III,Besuche 8 verschiedene Laender,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""countries_visited"", ""value"": 8, ""mechanism"": ""unique_count""}",
4,Weltreisender,Besuche 194 Laender,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""countries_visited"", ""value"": 194, ""mechanism"": ""unique_count""}",
5,Explorer,Sei mehr als 100 km von zuhause entfernt,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""home_distance_km"", ""value"": 100, ""mechanism"": ""simple_threshold""}",
6,Adventure,Mache mehr als 20000 Schritte an einem neuen Ort der mehr als 50 km von zuhause entfernt ist,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""mechanism"": ""combined"", ""conditions"": [{""type"": ""steps_today"", ""value"": 20000, ""operator"": ""greater_equal""}, {""type"": ""home_distance_km"", ""value"": 50, ""operator"": ""greater_equal""}, {""type"": ""is_new_location"", ""value"": true, ""operator"": ""equals""}]}",
7,Landlocked,Besuche ein Land ohne Meereszugang,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""visited_landlocked_country"", ""value"": true, ""mechanism"": ""simple_threshold""}",
8,Island Hopper,Besuche 3 verschiedene Inseln,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""islands_visited"", ""value"": 3, ""mechanism"": ""unique_count""}",
9,Capital Collector,Besuche 10 Hauptstaedte,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""capitals_visited"", ""value"": 10, ""mechanism"": ""unique_count""}",
10,Border Crosser,Ueberquere 3 verschiedene Landesgrenzen an einem Tag,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""borders_crossed_today"", ""value"": 3, ""mechanism"": ""simple_threshold""}",
11,Border Crosser I,Ueberquere 5 verschiedene Landesgrenzen an einem Tag,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""borders_crossed_today"", ""value"": 5, ""mechanism"": ""simple_threshold""}",
12,Crossy Road,Stehe auf einer Landesgrenze zwischen zwei Laendern,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""on_border"", ""value"": true, ""mechanism"": ""simple_threshold""}",
13,Four Corners,Stehe an einem Punkt wo 4 Laender zusammentreffen,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""four_corners"", ""value"": true, ""mechanism"": ""simple_threshold""}",
14,Time Traveler,Besuche 3 verschiedene Zeitzonen an einem Tag,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""timezones_today"", ""value"": 3, ""mechanism"": ""unique_count""}",
15,Urban Explorer,Entdecke 10 verschiedene Staedte innerhalb eines Monats,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""cities_this_month"", ""value"": 10, ""mechanism"": ""unique_count""}",
16,German Explorer,Besuche mindestens 10 deutsche Staedte,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""german_cities_visited"", ""value"": 10, ""mechanism"": ""unique_count""}",
17,Polar Bear,Bereise die Antarktis,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""visited_antarctica"", ""value"": true, ""mechanism"": ""simple_threshold""}",
18,Fly,Fliege in einem Flugzeug,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""mechanism"": ""combined"", ""conditions"": [{""type"": ""speed_kmh"", ""value"": 200, ""operator"": ""greater_equal""}, {""type"": ""altitude_m"", ""value"": 1000, ""operator"": ""greater_equal""}]}",
19,Speedster,Bewege dich mit mehr als 200 km/h in einem Fahrzeug,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""speed_kmh"", ""value"": 200, ""mechanism"": ""simple_threshold""}",
20,Sailor Sarah,Besuche 8 Laender nur per Schiff,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""countries_by_ship"", ""value"": 8, ""mechanism"": ""unique_count""}",
21,Skyfall,Mache einen Fallschirmsprung,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""skydive_detected"", ""value"": true, ""mechanism"": ""simple_threshold""}",
22,Void,Besuche Bielefeld,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""visited_city"", ""value"": ""Bielefeld"", ""mechanism"": ""city_visit""}",
23,Tokyo Drift,Besuche Tokio,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""visited_city"", ""value"": ""Tokyo"", ""mechanism"": ""city_visit""}",
24,Autopilot Disabled,Nimm einen anderen Weg als sonst zum gleichen Ziel,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""new_route_to_known_destination"", ""value"": true, ""mechanism"": ""simple_threshold""}",
25,Unknown Chunk Loaded,Betrete nach einem Jahr Nutzung ein komplett neues Gebiet,Adventure & Travel,2026-03-05 17:50:12.638825+00,"{""type"": ""new_area_after_one_year"", ""value"": true, ""mechanism"": ""simple_threshold""}",
26,Wanderer,Wandere an einem Tag mehr als 12 km,Fitness & Health,2026-03-05 17:50:12.638825+00,"{""type"": ""distance_today_km"", ""value"": 12, ""mechanism"": ""simple_threshold""}",
27,Wanderer II,Wandere an einem Tag mehr als 18 km,Fitness & Health,2026-03-05 17:50:12.638825+00,"{""type"": ""distance_today_km"", ""value"": 18, ""mechanism"": ""simple_threshold""}",
28,Marathoner,Laufe 42 km an einem Tag,Fitness & Health,2026-03-05 17:50:12.638825+00,"{""type"": ""distance_today_km"", ""value"": 42, ""mechanism"": ""simple_threshold""}",
29,Early Bird,Mache vor 5 Uhr morgens mehr als 200 Schritte,Fitness & Health,2026-03-05 17:50:12.638825+00,"{""mechanism"": ""combined"", ""conditions"": [{""type"": ""current_hour"", ""value"": 5, ""operator"": ""less_than""}, {""type"": ""steps_today"", ""value"": 200, ""operator"": ""greater_equal""}]}",
30,Night Walker,Laufe mehr als 5 km zwischen 22 und 4 Uhr,Fitness & Health,2026-03-05 17:50:12.638825+00,"{""type"": ""night_distance_km"", ""value"": 5, ""mechanism"": ""simple_threshold""}",
31,30k Club,Mache 30000 Schritte an einem Tag,Fitness & Health,2026-03-05 17:50:12.638825+00,"{""type"": ""steps_today"", ""value"": 30000, ""mechanism"": ""simple_threshold""}",
32,1 Week,Mache 7 Tage in Folge mindestens 10000 Schritte pro Tag,Fitness & Health,2026-03-05 17:50:12.638825+00,"{""type"": ""steps_streak_days"", ""value"": 7, ""mechanism"": ""simple_threshold""}",
33,Iron Legs,Mache 7 Tage in Folge mehr als 10000 Schritte,Fitness & Health,2026-03-05 17:50:12.638825+00,"{""type"": ""steps_streak_days"", ""value"": 7, ""mechanism"": ""simple_threshold""}",
34,Cyclist,Fahre mehr als 50 km Fahrrad an einem Tag,Fitness & Health,2026-03-05 17:50:12.638825+00,"{""type"": ""cycling_distance_today_km"", ""value"": 50, ""mechanism"": ""simple_threshold""}",
37,Elevator? Never!,Steige an einem Tag mehr als 50 Stockwerke zu Fuss,Fitness & Health,2026-03-05 17:50:12.638825+00,"{""type"": ""floors_today"", ""value"": 50, ""mechanism"": ""simple_threshold""}",
38,Mountain Goat,Besteige einen Berg ueber 2000 Meter,Fitness & Health,2026-03-05 17:50:12.638825+00,"{""type"": ""altitude_m"", ""value"": 2000, ""mechanism"": ""simple_threshold""}",
39,Tutorial Finished,Werde 18 Jahre alt,Fitness & Health,2026-03-05 17:50:12.638825+00,"{""type"": ""age"", ""value"": 18, ""mechanism"": ""simple_threshold""}",
40,50%,Werde 50 Jahre alt,Fitness & Health,2026-03-05 17:50:12.638825+00,"{""type"": ""age"", ""value"": 50, ""mechanism"": ""simple_threshold""}",
41,100%,Werde 100 Jahre alt,Fitness & Health,2026-03-05 17:50:12.638825+00,"{""type"": ""age"", ""value"": 100, ""mechanism"": ""simple_threshold""}",
42,Survive Covid 19,Sei vor 2021 geboren,Fitness & Health,2026-03-05 17:50:12.638825+00,"{""type"": ""birth_year"", ""value"": 2021, ""operator"": ""less_than"", ""mechanism"": ""simple_threshold""}",
43,Homebody,Verlasse das Haus 48 Stunden nicht,Fitness & Health,2026-03-05 17:50:12.638825+00,"{""type"": ""hours_at_home"", ""value"": 48, ""mechanism"": ""simple_threshold""}",
44,Bushcamper I,Uebernachte eine Nacht in der Wildnis,Nature,2026-03-05 17:50:12.638825+00,"{""type"": ""nights_in_wild"", ""value"": 1, ""mechanism"": ""simple_threshold""}",
45,Bushcamper II,Bleibe laenger als 3 Tage in der Wildnis,Nature,2026-03-05 17:50:12.638825+00,"{""type"": ""days_in_wild"", ""value"": 3, ""mechanism"": ""simple_threshold""}",
46,Golden Hour,Sei draussen bei einem Sonnenauf- oder Sonnenuntergang,Nature,2026-03-05 17:50:12.638825+00,"{""type"": ""golden_hour_outdoor"", ""value"": true, ""mechanism"": ""simple_threshold""}",
47,Sunrise Chaser,Sieh mehr als 3 Sonnenaufgaenge hintereinander,Nature,2026-03-05 17:50:12.638825+00,"{""type"": ""sunrise_streak"", ""value"": 3, ""mechanism"": ""simple_threshold""}",
48,Night Owl,Sei mehr als 3 Naechte hintereinander draussen sobald es dunkel ist,Nature,2026-03-05 17:50:12.638825+00,"{""type"": ""outdoor_night_streak"", ""value"": 3, ""mechanism"": ""simple_threshold""}",
50,Weather Resistant,Sei draussen trotz Regen und unter 5 Grad,Nature,2026-03-05 17:50:12.638825+00,"{""mechanism"": ""combined"", ""conditions"": [{""type"": ""temperature_c"", ""value"": 5, ""operator"": ""less_than""}, {""type"": ""is_raining"", ""value"": true, ""operator"": ""equals""}, {""type"": ""is_outdoor"", ""value"": true, ""operator"": ""equals""}]}",
51,First Snow,Sei beim ersten Schneefall des Jahres draussen,Nature,2026-03-05 17:50:12.638825+00,"{""mechanism"": ""combined"", ""conditions"": [{""type"": ""is_first_snow_of_year"", ""value"": true, ""operator"": ""equals""}, {""type"": ""is_outdoor"", ""value"": true, ""operator"": ""equals""}]}",
52,Snow Explorer,Verbringe mehr als 3 Stunden im Schnee,Nature,2026-03-05 17:50:12.638825+00,"{""mechanism"": ""combined"", ""conditions"": [{""type"": ""is_snowing"", ""value"": true, ""operator"": ""equals""}, {""type"": ""hours_outdoor_today"", ""value"": 3, ""operator"": ""greater_equal""}]}",
53,Rainbow Chaser,Sei draussen direkt nach einem Regen bei Sonnenschein,Nature,2026-03-05 17:50:12.638825+00,"{""type"": ""rainbow_conditions_outdoor"", ""value"": true, ""mechanism"": ""simple_threshold""}",
54,Beach,Besuche einen Strand,Nature,2026-03-05 17:50:12.638825+00,"{""type"": ""visited_beach"", ""value"": true, ""mechanism"": ""simple_threshold""}",
55,Miner,Sei 500 Meter unter dem Meeresspiegel,Nature,2026-03-05 17:50:12.638825+00,"{""type"": ""altitude_m"", ""value"": -500, ""mechanism"": ""less_than""}",
56,Lost Signal,Sei 2 Stunden ohne Internet und GPS Verbindung,Nature,2026-03-05 17:50:12.638825+00,"{""type"": ""hours_offline"", ""value"": 2, ""mechanism"": ""simple_threshold""}",
57,Offline Mode,Sei einen ganzen Tag offline,Nature,2026-03-05 17:50:12.638825+00,"{""type"": ""hours_offline"", ""value"": 24, ""mechanism"": ""simple_threshold""}",
58,Flat Earther,Sei an einem Tag gleichzeitig an einer sehr tiefen und einer sehr hohen Stelle,Nature,2026-03-05 17:50:12.638825+00,"{""type"": ""altitude_range_today_m"", ""value"": 2000, ""mechanism"": ""simple_threshold""}",
59,Eiffel Gazer,Besuche den Eiffelturm in Paris,Landmarks,2026-03-05 17:50:12.638825+00,"{""type"": ""landmark"", ""value"": ""eiffel_tower"", ""mechanism"": ""landmark_visit""}",
60,Colosseum Visitor,Besuche das Kolosseum in Rom,Landmarks,2026-03-05 17:50:12.638825+00,"{""type"": ""landmark"", ""value"": ""colosseum"", ""mechanism"": ""landmark_visit""}",
61,Big Ben Watcher,Besuche den Big Ben in London,Landmarks,2026-03-05 17:50:12.638825+00,"{""type"": ""landmark"", ""value"": ""big_ben"", ""mechanism"": ""landmark_visit""}",
62,Sagrada Familia,Besuche die Sagrada Familia in Barcelona,Landmarks,2026-03-05 17:50:12.638825+00,"{""type"": ""landmark"", ""value"": ""sagrada_familia"", ""mechanism"": ""landmark_visit""}",
63,Statue of Liberty,Besuche die Freiheitsstatue in New York,Landmarks,2026-03-05 17:50:12.638825+00,"{""type"": ""landmark"", ""value"": ""statue_of_liberty"", ""mechanism"": ""landmark_visit""}",
64,Machu Picchu,Besuche Machu Picchu in Peru,Landmarks,2026-03-05 17:50:12.638825+00,"{""type"": ""landmark"", ""value"": ""machu_picchu"", ""mechanism"": ""landmark_visit""}",
65,Taj Mahal,Besuche das Taj Mahal in Indien,Landmarks,2026-03-05 17:50:12.638825+00,"{""type"": ""landmark"", ""value"": ""taj_mahal"", ""mechanism"": ""landmark_visit""}",
66,Great Wall Walker,Besuche die Chinesische Mauer,Landmarks,2026-03-05 17:50:12.638825+00,"{""type"": ""landmark"", ""value"": ""great_wall"", ""mechanism"": ""landmark_visit""}",
67,Chichen Itza,Besuche Chichen Itza in Mexiko,Landmarks,2026-03-05 17:50:12.638825+00,"{""type"": ""landmark"", ""value"": ""chichen_itza"", ""mechanism"": ""landmark_visit""}",
68,Christ the Redeemer,Besuche den Christus in Rio de Janeiro,Landmarks,2026-03-05 17:50:12.638825+00,"{""type"": ""landmark"", ""value"": ""christ_redeemer"", ""mechanism"": ""landmark_visit""}",
69,Petra,Besuche Petra in Jordanien,Landmarks,2026-03-05 17:50:12.638825+00,"{""type"": ""landmark"", ""value"": ""petra"", ""mechanism"": ""landmark_visit""}",
